,State,Service,Price,DateTime
4,VIC1,ENERGY,82.80761222107222,2017/05/01 04:00:00
0,NSW1,ENERGY,74.99748566830937,2017/05/01 04:05:00
1,QLD1,ENERGY,71.35373282711488,2017/05/01 04:05:00
2,SA1,ENERGY,62.64884966307965,2017/05/01 04:05:00
3,TAS1,ENERGY,79.3044027717032,2017/05/01 04:05:00
4,VIC1,ENERGY,60.36600119682189,2017/05/01 04:05:00
0,NSW1,ENERGY,70.00812512695511,2017/05/01 04:10:00
1,QLD1,ENERGY,67.61027683323194,2017/05/01 04:10:00
2,SA1,ENERGY,57.12060940483391,2017/05/01 04:10:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 04:10:00
4,VIC1,ENERGY,55.89735743449094,2017/05/01 04:10:00
0,NSW1,ENERGY,73.33622072982304,2017/05/01 04:15:00
1,QLD1,ENERGY,71.3166703406904,2017/05/01 04:15:00
2,SA1,ENERGY,58.96606968833878,2017/05/01 04:15:00
3,TAS1,ENERGY,227.86747673656436,2017/05/01 04:15:00
4,VIC1,ENERGY,58.041296061162925,2017/05/01 04:15:00
0,NSW1,ENERGY,74.99748491833451,2017/05/01 04:20:00
1,QLD1,ENERGY,72.94640118203762,2017/05/01 04:20:00
2,SA1,ENERGY,59.604290733581415,2017/05/01 04:20:00
3,TAS1,ENERGY,227.76195546476436,2017/05/01 04:20:00
4,VIC1,ENERGY,59.42492074705822,2017/05/01 04:20:00
0,NSW1,ENERGY,69.94823911499036,2017/05/01 04:25:00
1,QLD1,ENERGY,67.53635388206638,2017/05/01 04:25:00
2,SA1,ENERGY,54.53988012179031,2017/05/01 04:25:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 04:25:00
4,VIC1,ENERGY,54.031300464833066,2017/05/01 04:25:00
0,NSW1,ENERGY,70.00812512695511,2017/05/01 04:30:00
1,QLD1,ENERGY,67.60096575258969,2017/05/01 04:30:00
2,SA1,ENERGY,55.00300363599425,2017/05/01 04:30:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 04:30:00
4,VIC1,ENERGY,55.47114796871816,2017/05/01 04:30:00
0,NSW1,ENERGY,47.00091342738253,2017/05/01 04:35:00
1,QLD1,ENERGY,44.78594838120409,2017/05/01 04:35:00
2,SA1,ENERGY,36.12379995070856,2017/05/01 04:35:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 04:35:00
4,VIC1,ENERGY,36.202815742669465,2017/05/01 04:35:00
0,NSW1,ENERGY,61.2950853176812,2017/05/01 04:40:00
1,QLD1,ENERGY,60.94362998141648,2017/05/01 04:40:00
2,SA1,ENERGY,41.83266982761104,2017/05/01 04:40:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 04:40:00
4,VIC1,ENERGY,38.33087290341171,2017/05/01 04:40:00
0,NSW1,ENERGY,64.43577311170759,2017/05/01 04:45:00
1,QLD1,ENERGY,60.94362998141648,2017/05/01 04:45:00
2,SA1,ENERGY,45.75783033863308,2017/05/01 04:45:00
3,TAS1,ENERGY,223.45276872964328,2017/05/01 04:45:00
4,VIC1,ENERGY,43.643354530249844,2017/05/01 04:45:00
0,NSW1,ENERGY,64.41928785979766,2017/05/01 04:50:00
1,QLD1,ENERGY,60.94362998141648,2017/05/01 04:50:00
2,SA1,ENERGY,50.45332982035934,2017/05/01 04:50:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 04:50:00
4,VIC1,ENERGY,50.90155803014665,2017/05/01 04:50:00
0,NSW1,ENERGY,64.45529945075367,2017/05/01 04:55:00
1,QLD1,ENERGY,60.94362998141648,2017/05/01 04:55:00
2,SA1,ENERGY,47.7726694063597,2017/05/01 04:55:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 04:55:00
4,VIC1,ENERGY,46.610139192649186,2017/05/01 04:55:00
0,NSW1,ENERGY,70.88890357703171,2017/05/01 05:00:00
1,QLD1,ENERGY,67.07457378935257,2017/05/01 05:00:00
2,SA1,ENERGY,55.42754357284789,2017/05/01 05:00:00
3,TAS1,ENERGY,223.4527687296417,2017/05/01 05:00:00
4,VIC1,ENERGY,56.206078150821,2017/05/01 05:00:00
0,NSW1,ENERGY,67.0050240951502,2017/05/01 05:05:00
1,QLD1,ENERGY,63.39124213062648,2017/05/01 05:05:00
2,SA1,ENERGY,52.60531609248439,2017/05/01 05:05:00
3,TAS1,ENERGY,223.4666129519591,2017/05/01 05:05:00
4,VIC1,ENERGY,53.06064873372298,2017/05/01 05:05:00
0,NSW1,ENERGY,70.00812512695511,2017/05/01 05:10:00
1,QLD1,ENERGY,65.76262239488125,2017/05/01 05:10:00
2,SA1,ENERGY,56.82398497867151,2017/05/01 05:10:00
3,TAS1,ENERGY,223.4666129519589,2017/05/01 05:10:00
4,VIC1,ENERGY,56.53170105626647,2017/05/01 05:10:00
0,NSW1,ENERGY,74.99748566830937,2017/05/01 05:15:00
1,QLD1,ENERGY,71.50237784370933,2017/05/01 05:15:00
2,SA1,ENERGY,60.68174061148551,2017/05/01 05:15:00
3,TAS1,ENERGY,223.4666129519589,2017/05/01 05:15:00
4,VIC1,ENERGY,60.56939437795453,2017/05/01 05:15:00
0,NSW1,ENERGY,74.99748566830937,2017/05/01 05:20:00
1,QLD1,ENERGY,71.81834225082991,2017/05/01 05:20:00
2,SA1,ENERGY,60.406574836568325,2017/05/01 05:20:00
3,TAS1,ENERGY,223.4666129519589,2017/05/01 05:20:00
4,VIC1,ENERGY,60.54374523785572,2017/05/01 05:20:00
0,NSW1,ENERGY,74.99748566830937,2017/05/01 05:25:00
1,QLD1,ENERGY,72.51656884240182,2017/05/01 05:25:00
2,SA1,ENERGY,61.70268138388763,2017/05/01 05:25:00
3,TAS1,ENERGY,223.4666129519589,2017/05/01 05:25:00
4,VIC1,ENERGY,61.11770099567458,2017/05/01 05:25:00
0,NSW1,ENERGY,70.00812512695511,2017/05/01 05:30:00
1,QLD1,ENERGY,67.18119703432873,2017/05/01 05:30:00
2,SA1,ENERGY,57.37984949217963,2017/05/01 05:30:00
3,TAS1,ENERGY,223.4666129519589,2017/05/01 05:30:00
4,VIC1,ENERGY,57.06089247410116,2017/05/01 05:30:00
0,NSW1,ENERGY,68.91665622424429,2017/05/01 05:35:00
1,QLD1,ENERGY,67.07457378935257,2017/05/01 05:35:00
2,SA1,ENERGY,56.7358532569815,2017/05/01 05:35:00
