State,Service,Price,DateTime
VIC1,ENERGY,85.80129805,16/01/2017 19:05
NSW1,ENERGY,95.00858846,31/01/2017 13:25
QLD1,ENERGY,103.2089697,31/01/2017 13:25
SA1,ENERGY,79.98801678,31/01/2017 13:25
TAS1,ENERGY,63.48522686,31/01/2017 13:25
VIC1,ENERGY,65.85302289,31/01/2017 13:25
NSW1,ENERGY,132.0977515,11/01/2017 12:30
QLD1,ENERGY,130.7642049,11/01/2017 12:30
SA1,ENERGY,121.4482119,11/01/2017 12:30
TAS1,ENERGY,110.8518809,11/01/2017 12:30
VIC1,ENERGY,75.45022424,11/01/2017 12:30
NSW1,ENERGY,48.86310497,26/01/2017 12:55
QLD1,ENERGY,60.94362998,26/01/2017 12:55
SA1,ENERGY,45.53160324,26/01/2017 12:55
TAS1,ENERGY,73.90450599,26/01/2017 12:55
VIC1,ENERGY,35.20518359,26/01/2017 12:55
NSW1,ENERGY,42.3788859,30/01/2017 3:40
QLD1,ENERGY,44.99068516,30/01/2017 3:40
SA1,ENERGY,34.7212473,30/01/2017 3:40
TAS1,ENERGY,78.27614717,30/01/2017 3:40
VIC1,ENERGY,25.19798416,30/01/2017 3:40
NSW1,ENERGY,77.81948439,25/01/2017 8:20
QLD1,ENERGY,80.56144999,25/01/2017 8:20
SA1,ENERGY,100.3657516,25/01/2017 8:20
TAS1,ENERGY,85.24524121,25/01/2017 8:20
VIC1,ENERGY,75.00521376,25/01/2017 8:20
NSW1,ENERGY,52.58601861,20/01/2017 6:45
QLD1,ENERGY,55.73518981,20/01/2017 6:45
SA1,ENERGY,37.97116488,20/01/2017 6:45
TAS1,ENERGY,89.30343117,20/01/2017 6:45
VIC1,ENERGY,42.61506695,20/01/2017 6:45
NSW1,ENERGY,59.66839062,14/01/2017 3:35
QLD1,ENERGY,60.94363608,14/01/2017 3:35
SA1,ENERGY,16.4039719,14/01/2017 3:35
TAS1,ENERGY,17.15610242,14/01/2017 3:35
VIC1,ENERGY,30.61998683,14/01/2017 3:35
NSW1,ENERGY,34.96851513,14/01/2017 23:00
QLD1,ENERGY,35.80251422,14/01/2017 23:00
SA1,ENERGY,27.34643829,14/01/2017 23:00
TAS1,ENERGY,24.10932895,14/01/2017 23:00
VIC1,ENERGY,16.1531181,14/01/2017 23:00
NSW1,ENERGY,62.5715044,30/01/2017 23:30
QLD1,ENERGY,64.80776976,30/01/2017 23:30
SA1,ENERGY,64.6917774,30/01/2017 23:30
TAS1,ENERGY,96.36213311,30/01/2017 23:30
VIC1,ENERGY,57.44545734,30/01/2017 23:30
NSW1,ENERGY,63.12266947,4/01/2017 6:20
QLD1,ENERGY,60.94362998,4/01/2017 6:20
SA1,ENERGY,49.291598,4/01/2017 6:20
TAS1,ENERGY,91.2877222,4/01/2017 6:20
VIC1,ENERGY,10.50087422,4/01/2017 6:20
NSW1,ENERGY,38.95260327,12/01/2017 2:55
QLD1,ENERGY,37.14119036,12/01/2017 2:55
SA1,ENERGY,32.9611086,12/01/2017 2:55
TAS1,ENERGY,28.42088406,12/01/2017 2:55
VIC1,ENERGY,23.81846518,12/01/2017 2:55
NSW1,ENERGY,94.37859642,8/01/2017 18:50
QLD1,ENERGY,98.57367928,8/01/2017 18:50
SA1,ENERGY,99.39093665,8/01/2017 18:50
TAS1,ENERGY,87.86610629,8/01/2017 18:50
VIC1,ENERGY,85.80129805,8/01/2017 18:50
NSW1,ENERGY,299.7979186,24/01/2017 15:45
QLD1,ENERGY,313.0121114,24/01/2017 15:45
SA1,ENERGY,110.6007855,24/01/2017 15:45
TAS1,ENERGY,81.10952203,24/01/2017 15:45
VIC1,ENERGY,159.9880516,24/01/2017 15:45
NSW1,ENERGY,59.8897835,25/01/2017 7:10
QLD1,ENERGY,64.91578555,25/01/2017 7:10
SA1,ENERGY,79.98801678,25/01/2017 7:10
TAS1,ENERGY,85.24524121,25/01/2017 7:10
VIC1,ENERGY,58.24817518,25/01/2017 7:10
NSW1,ENERGY,58.50581774,4/01/2017 23:40
QLD1,ENERGY,60.94362998,4/01/2017 23:40
SA1,ENERGY,34.98300284,4/01/2017 23:40
TAS1,ENERGY,84.75557016,4/01/2017 23:40
VIC1,ENERGY,25.19798416,4/01/2017 23:40
NSW1,ENERGY,64.80790631,21/01/2017 10:55
QLD1,ENERGY,74.74081056,21/01/2017 10:55
SA1,ENERGY,73.2699114,21/01/2017 10:55
TAS1,ENERGY,85.2,21/01/2017 10:55
VIC1,ENERGY,61.15016579,21/01/2017 10:55
NSW1,ENERGY,91.93621755,23/01/2017 11:25
QLD1,ENERGY,98.93316599,23/01/2017 11:25
SA1,ENERGY,133.3770143,23/01/2017 11:25
TAS1,ENERGY,91.99049194,23/01/2017 11:25
VIC1,ENERGY,89.82871538,23/01/2017 11:25
NSW1,ENERGY,87.66139619,17/01/2017 6:25
QLD1,ENERGY,92.31537204,17/01/2017 6:25
SA1,ENERGY,102.5958029,17/01/2017 6:25
TAS1,ENERGY,89.83508116,17/01/2017 6:25
VIC1,ENERGY,92.00720429,17/01/2017 6:25
NSW1,ENERGY,69.95730501,8/01/2017 12:05
QLD1,ENERGY,63.2162191,8/01/2017 12:05
SA1,ENERGY,93.19851369,8/01/2017 12:05
TAS1,ENERGY,80.57206164,8/01/2017 12:05
VIC1,ENERGY,79.45981819,8/01/2017 12:05
NSW1,ENERGY,82.38753018,10/01/2017 17:30
QLD1,ENERGY,85.31218313,10/01/2017 17:30
SA1,ENERGY,79.98801678,10/01/2017 17:30
TAS1,ENERGY,80.59115337,10/01/2017 17:30
VIC1,ENERGY,78.69726126,10/01/2017 17:30
NSW1,ENERGY,73.55347387,29/01/2017 3:40
QLD1,ENERGY,74.87368277,29/01/2017 3:40
SA1,ENERGY,57.91202674,29/01/2017 3:40
TAS1,ENERGY,76.75692435,29/01/2017 3:40
VIC1,ENERGY,30.6264026,29/01/2017 3:40
NSW1,ENERGY,66.81974955,27/01/2017 6:45
QLD1,ENERGY,72.01273158,27/01/2017 6:45
SA1,ENERGY,79.98801678,27/01/2017 6:45
TAS1,ENERGY,76.75692435,27/01/2017 6:45
VIC1,ENERGY,66.85422439,27/01/2017 6:45
NSW1,ENERGY,33.20086393,8/01/2017 23:45
QLD1,ENERGY,32.37462203,8/01/2017 23:45
SA1,ENERGY,33.69928006,8/01/2017 23:45
TAS1,ENERGY,80.54763844,8/01/2017 23:45
VIC1,ENERGY,25.19798416,8/01/2017 23:45
NSW1,ENERGY,91.88157982,29/01/2017 10:25
QLD1,ENERGY,98.66490624,29/01/2017 10:25
SA1,ENERGY,84.21307089,29/01/2017 10:25
TAS1,ENERGY,80.39726674,29/01/2017 10:25
VIC1,ENERGY,35.20518359,29/01/2017 10:25
NSW1,ENERGY,69.95730501,14/01/2017 11:40
QLD1,ENERGY,75.88457759,14/01/2017 11:40
SA1,ENERGY,45.77861882,14/01/2017 11:40
TAS1,ENERGY,80.36378669,14/01/2017 11:40
VIC1,ENERGY,35.20518359,14/01/2017 11:40
NSW1,ENERGY,153.7798152,3/01/2017 22:10
QLD1,ENERGY,155.9251109,3/01/2017 22:10
SA1,ENERGY,18.63549319,3/01/2017 22:10
TAS1,ENERGY,91.2877222,3/01/2017 22:10
VIC1,ENERGY,64.34171232,3/01/2017 22:10
NSW1,ENERGY,84.34049031,12/01/2017 7:00
QLD1,ENERGY,89.44245703,12/01/2017 7:00
SA1,ENERGY,79.98801278,12/01/2017 7:00
TAS1,ENERGY,80.33034545,12/01/2017 7:00
VIC1,ENERGY,35.66518257,12/01/2017 7:00
NSW1,ENERGY,44.97077822,16/01/2017 1:25
QLD1,ENERGY,45.87752402,16/01/2017 1:25
SA1,ENERGY,47.4566729,16/01/2017 1:25
TAS1,ENERGY,80.34311699,16/01/2017 1:25
VIC1,ENERGY,43.5154339,16/01/2017 1:25
NSW1,ENERGY,97.90521508,24/01/2017 10:00
QLD1,ENERGY,96.73831766,24/01/2017 10:00
SA1,ENERGY,96.27244477,24/01/2017 10:00
TAS1,ENERGY,85.21986971,24/01/2017 10:00
VIC1,ENERGY,83.19767277,24/01/2017 10:00
NSW1,ENERGY,38.89838337,22/01/2017 0:10
QLD1,ENERGY,39.07715529,22/01/2017 0:10
SA1,ENERGY,37.48911987,22/01/2017 0:10
